Группа;Название ресторана;Последний статус
"2 аудита";"Рио Вологда";"Зеленый"
"2 аудита";"Родео Драйв Санкт-Петербург";"Зеленый"
"2 аудита";"Северный Молл Санкт-Петербург";"Зеленый "
"2 аудита";"Сестрорецк Санкт-Петербург";"Зеленый "
"2 аудита";"Славы Санкт-Петербург";"Зеленый "
"2 аудита";"Смена Псков";"Зеленый"
"2 аудита";"Солнечный город Санкт-Петербург";"Зеленый"
"2 аудита";"Спар Кушелевка Санкт-Петербург";"Зеленый "
"2 аудита";"Спар Оптима Тихвин";"Зеленый"
"2 аудита";"Статойл Софийская Санкт-Петербург";"Зеленый"
"2 аудита";"Титан Арена Архангельск";"Зеленый"
"2 аудита";"Урицкого Луга";"Красный"
"2 аудита";"Художников Санкт-Петербург";"Зеленый"
"2 аудита";"Чкаловский Санкт-Петербург";"Зеленый "
"2 аудита";"Шоколад Санкт-Петербург";"Зеленый "
"2 аудита";"Электра Санкт-Петербург";"Зеленый"
"2 аудита";"Юго-Запад Санкт-Петербург";"Зеленый"
"2 аудита";"Южный Полюс Санкт-Петербург";"Зеленый "
"2 аудита";"Юнион Заневский Санкт-Петербург";"Зеленый "
"2 аудита";"Юнион Типанова Санкт-Петербург";"Зеленый"
"1 аудит";"Гулливер Санкт-Петербург";"Зеленый "
"1 аудит";"Небо Мурино Санкт-Петербург";"Зеленый"
